frame,dir,touch,is_oos,rolling,triggered,delay,rr_trigger,we,R,label,MFE,MAE,p025,p05
4H,LONG,2025-04-18 16:00:00+00:00,True,True,True,0,2.728267483974462,52.92067539884884,3.0,TP3,8.3093269995281,0.310960167914721,9.0,46.0
4H,LONG,2025-04-18 20:30:00+00:00,True,True,True,1,2.8440699030337897,38.841041246163705,3.0,TP3,10.745695087219977,0.5525686021139263,21.0,25.0
4H,LONG,2025-04-20 07:30:00+00:00,True,True,False,999,,53.914572423472855,3.0,TP3,12.390424403455832,0.9616895117027903,,
4H,LONG,2025-04-28 00:00:00+00:00,True,True,True,1,2.2083348105558596,59.90114394974293,3.0,TP3,3.7320679199371436,0.42885088146846545,1.0,13.0
4H,LONG,2025-04-27 12:30:00+00:00,True,True,True,0,2.6135469511061222,65.17400815115525,3.0,TP3,3.408290670147236,0.902649291530199,4.0,24.0
4H,LONG,2025-04-28 14:00:00+00:00,True,True,True,0,1.6783198125480332,54.628288274528224,3.0,TP3,3.331577663918707,0.8380277336565793,0.0,0.0
4H,LONG,2025-04-29 22:00:00+00:00,True,True,True,8,2.777399070545219,68.59718548388068,0.565520080536454,OPEN,2.2702011562389144,0.8747085220674402,9.0,15.0
4H,LONG,2025-04-30 08:15:00+00:00,True,True,True,1,2.6698200534959287,59.86083921116401,-1.0,SL,3.063564784299763,1.4914234874052468,4.0,11.0
4H,LONG,2025-05-04 23:00:00+00:00,True,True,True,5,2.6275763567616184,54.578922229113964,3.0,TP3,5.77757073007918,0.6902694246399438,88.0,183.0
4H,LONG,2025-05-04 08:30:00+00:00,True,True,True,1,2.5524532753097207,58.71195499149078,-1.0,SL,6.44718996211976,1.5104211052743397,247.0,247.0
4H,LONG,2025-05-03 10:30:00+00:00,True,True,True,7,2.954378477254898,62.269321299652304,-1.0,SL,3.7699561676863564,2.597797128160023,5.0,332.0
4H,SHORT,2025-05-05 22:30:00+00:00,True,True,True,1,2.748097838237654,47.27203383562877,-1.0,SL,1.8101470032377667,9.6258519413023,3.0,6.0
4H,LONG,2025-05-12 18:00:00+00:00,True,True,False,999,,59.174724272975624,-1.0,SL,2.180955927952365,1.0941410874236392,,
4H,LONG,2025-05-12 14:15:00+00:00,True,True,True,1,2.223076938771733,70.52007511960386,-1.0,SL,1.334499476676579,1.713826951691978,0.0,88.0
4H,LONG,2025-05-14 09:00:00+00:00,True,True,True,1,2.52462892217821,77.55660621756928,0.07293267868153855,OPEN,1.7747927984049008,0.717893087298792,3.0,12.0
4H,LONG,2025-05-14 16:15:00+00:00,True,True,True,10,2.6914929754471553,77.03048728517243,-1.0,SL,2.6627624305170907,1.4779861792309104,22.0,90.0
4H,LONG,2025-05-16 08:15:00+00:00,True,True,True,1,2.747056543257546,62.155920148475005,1.6859684354193565,OPEN,2.4770237797910126,0.5710737051511122,3.0,26.0
4H,LONG,2025-05-17 04:00:00+00:00,True,True,True,1,2.6611263985427454,75.30996501534679,3.0,TP3,6.930947429557969,1.1493854984162248,110.0,111.0
4H,SHORT,2025-05-18 04:30:00+00:00,True,True,False,999,,29.63538447118811,-1.0,SL,1.2574064745268774,8.71308747777739,,
4H,LONG,2025-05-23 12:00:00+00:00,True,True,True,6,2.5447457137508653,54.84409554110987,-1.0,SL,1.1303627020640135,1.3697085819526709,0.0,1.0
4H,LONG,2025-05-24 21:00:00+00:00,True,True,True,2,2.90428202428401,61.091836490507426,-1.0,SL,0.9573369690810279,1.5155027213002765,102.0,110.0
4H,LONG,2025-05-27 01:15:00+00:00,True,True,True,4,2.664630422557413,60.546235846281434,-1.0,SL,1.198018924399291,2.7453532209077087,3.0,21.0
4H,LONG,2025-05-27 14:30:00+00:00,True,True,True,0,1.763200692365017,64.50586868745492,-1.0,SL,1.0003741768208299,3.809619420183514,0.0,4.0
4H,SHORT,2025-05-29 10:45:00+00:00,True,True,True,5,2.8508624757518697,33.24073718406443,1.6397444347378043,OPEN,2.6894282996653924,0.09224348844459845,5.0,6.0
4H,SHORT,2025-06-01 22:00:00+00:00,True,True,True,1,2.360619129688212,52.750477367203885,3.0,TP3,3.9211306067481395,0.797820754298434,13.0,18.0
4H,SHORT,2025-06-01 16:00:00+00:00,True,True,True,3,2.6267317645562027,44.398808798271396,-1.0,SL,4.165616104667096,1.4517259344965767,6.0,7.0
4H,SHORT,2025-06-02 21:00:00+00:00,True,True,True,1,2.3843437821920133,42.90653217869774,-1.0,SL,3.842940050680249,1.491492025574155,1.0,163.0
4H,SHORT,2025-06-04 15:15:00+00:00,True,True,True,2,2.9159750298085076,55.24111259020065,3.0,TP3,3.241592439713272,1.7548352254280561,8.0,18.0
4H,SHORT,2025-06-05 12:00:00+00:00,True,True,True,7,1.5065466399585314,42.01485706629208,3.0,TP3,4.765156495040755,5.581197972941488,0.0,0.0
4H,SHORT,2025-06-06 12:30:00+00:00,True,True,True,0,2.232472131776963,51.56189201106083,-1.0,SL,0.3342486048425127,3.5521529721477925,0.0,
4H,LONG,2025-06-11 22:15:00+00:00,True,True,True,1,2.457744056038741,57.11970778602774,-1.0,SL,0.7133912061626742,4.858489410556758,1.0,7.0
4H,SHORT,2025-06-16 05:00:00+00:00,True,True,False,999,,39.163139343041706,-1.0,SL,3.0427083956476366,1.8124024356016164,,
4H,SHORT,2025-06-15 05:45:00+00:00,True,True,True,1,2.8349221757086824,46.49813335208521,-1.0,SL,2.211274216890615,2.730556616950951,1.0,4.0
4H,SHORT,2025-06-20 08:00:00+00:00,True,True,True,2,2.8226510934253564,44.28212564770095,-0.18941301149490652,OPEN,2.6852476313252804,0.2480760890832978,21.0,25.0
4H,SHORT,2025-06-20 07:30:00+00:00,True,True,True,27,2.6140659218423417,49.63802930018362,3.0,TP3,5.369488283178989,1.0137438856307999,0.0,2.0
4H,SHORT,2025-06-20 07:15:00+00:00,True,True,False,999,,49.39238250218611,-1.0,SL,5.727671229569553,1.4635751304052074,,
4H,SHORT,2025-06-23 22:00:00+00:00,True,True,True,19,2.75294420809967,45.80484793290141,-1.0,SL,0.6979382905978794,1.9958125020548243,,
4H,SHORT,2025-06-23 20:15:00+00:00,True,True,True,4,2.661350065923025,64.41390530126867,-1.0,SL,0.42173486374848757,3.5610965442706024,,
4H,SHORT,2025-06-23 13:45:00+00:00,True,True,True,1,2.5658784202363925,70.81423342030092,-1.0,SL,1.8220071359092043,3.761467027120056,1.0,2.0
